0.000000000000000000e+00,7.500000000000000000e+01,5.000000000000000000e+01,-1.199999999999999858e+02,2.000000000000000000e+01
4.004004004004003969e-02,6.992915720301168392e+01,5.085283893808838940e+01,-1.332567579495050154e+02,2.260115243533283902e+01
8.008008008008007939e-02,6.433495690969711234e+01,5.180735851707184025e+01,-1.460412875229924907e+02,2.500421439418407488e+01
1.201201201201201191e-01,5.824362660640679934e+01,5.285225647921310355e+01,-1.576685603244609979e+02,2.670100770932556600e+01
1.601601601601601588e-01,5.173121861973419300e+01,5.393662322399324438e+01,-1.672656345414426653e+02,2.705061159850584929e+01
2.002002002002001846e-01,4.489666704727931545e+01,5.499058710756529678e+01,-1.741887825537578465e+02,2.557524309752752956e+01
2.402402402402402382e-01,3.784208573939211107e+01,5.594288910664948133e+01,-1.781708585807863301e+02,2.206105639104774241e+01
2.802802802802802917e-01,3.067276829917239311e+01,5.672088281853311997e+01,-1.793212986814671979e+02,1.655814281257817910e+01
3.203203203203203175e-01,2.349718808246995394e+01,5.725053446107072830e+01,-1.781261207542989382e+02,9.380530844485067021e+00
3.603603603603603434e-01,1.641496522948586190e+01,5.746263179888624961e+01,-1.753587053915062199e+02,1.070522588278877363e+00
4.004004004004003692e-01,9.467612376909073646e+00,5.732551267348811308e+01,-1.714663287182697786e+02,-7.917329116807526823e+00
4.404404404404404505e-01,2.691918647466094772e+00,5.682247573427332554e+01,-1.666840763675277515e+02,-1.725070647243203936e+01
4.804804804804804763e-01,-3.876747749040652558e+00,5.594516941268506116e+01,-1.611511136244190823e+02,-2.664662918410202508e+01
5.205205205205205576e-01,-1.020587722186235524e+01,5.469412736104343509e+01,-1.549053966254536192e+02,-3.587203140864180284e+01
5.605605605605605835e-01,-1.626581879930380481e+01,5.307876845254546794e+01,-1.478836723585121433e+02,-4.474376175419258317e+01
6.006006006006006093e-01,-2.202946899409502279e+01,5.111700880053101059e+01,-1.399285003208193530e+02,-5.312715994108170747e+01
6.406406406406406351e-01,-2.746065616780190055e+01,4.883000210559806220e+01,-1.309574737362960093e+02,-6.090711426309035659e+01
6.806806806806806609e-01,-3.251216839019343041e+01,4.624635039208923359e+01,-1.209516517204929045e+02,-6.800116325942217088e+01
7.207207207207206867e-01,-3.713905557988137218e+01,4.339563220205475602e+01,-1.099004750726970912e+02,-7.436522167628157831e+01
7.607607607607607125e-01,-4.129922534968758896e+01,4.030621031200347915e+01,-9.781886942109160543e+01,-7.998901750088666063e+01
8.008008008008007383e-01,-4.495344300664400095e+01,3.700523173290281420e+01,-8.474724522275535321e+01,-8.489609196146918180e+01
8.408408408408408752e-01,-4.806533155199259966e+01,3.351862771017878373e+01,-7.075149776366311016e+01,-8.914379952727463774e+01
8.808808808808809010e-01,-5.060137168118543372e+01,2.987111372371603224e+01,-5.592300715868569938e+01,-9.282330790856208580e+01
9.209209209209209268e-01,-5.253090292001494532e+01,2.608618943983028515e+01,-4.037864865632590750e+01,-9.605958650883762573e+01
9.609609609609609526e-01,-5.382956023963372161e+01,2.218284247393439657e+01,-2.426212157540130576e+01,-9.898729797895661875e+01
1.001001001001001089e+00,-5.447333579826619143e+01,1.816530184847754015e+01,-7.604347858484211464e+00,-1.018178123183751467e+02
1.041041041041041115e+00,-5.443672485336095690e+01,1.402984416737881901e+01,9.606216703228438902e+00,-1.047846232661422334e+02
1.081081081081081141e+00,-5.369700268888372108e+01,9.767207000856366506e+00,2.735697508445343473e+01,-1.080839878275995005e+02
1.121121121121121167e+00,-5.223422461531720984e+01,5.362588885427421737e+00,4.561118902582111190e+01,-1.118749262743810959e+02
1.161161161161161193e+00,-5.003122596966120739e+01,7.956493239082558233e-01,6.430797903387531278e+01,-1.162792221444137226e+02
1.201201201201201219e+00,-4.707362211543257757e+01,-3.959491214585751706e+00,8.336232438107352039e+01,-1.213814222419166526e+02
1.241241241241241244e+00,-4.334372120058036160e+01,-8.937337950571977885e+00,1.027542534855732725e+02,-1.272810690602437234e+02
1.281281281281281270e+00,-3.882644908192567357e+01,-1.417211310001821367e+01,1.217017781592011829e+02,-1.335912135579017104e+02
1.321321321321321296e+00,-3.363763009016195582e+01,-1.962264721006308221e+01,1.371538961548689599e+02,-1.385405864952019499e+02
1.361361361361361322e+00,-2.795452505243595809e+01,-2.521145149141291242e+01,1.468575301707476228e+02,-1.407941925913997352e+02
1.401401401401401348e+00,-2.200137985249624606e+01,-3.083262723275895567e+01,1.497271201834905696e+02,-1.396721649060179118e+02
1.441441441441441373e+00,-1.604942543069323335e+01,-3.635186580077735385e+01,1.458446234482330226e+02,-1.351497648388469770e+02
1.481481481481481399e+00,-1.038456936769222239e+01,-4.162321387625929248e+01,1.368442299587490254e+02,-1.280884488750966455e+02
1.521521521521521425e+00,-5.132185691692802365e+00,-4.658896645539434900e+01,1.255553436157668017e+02,-1.200793894650291662e+02
1.561561561561561451e+00,-3.332957265266914826e-01,-5.124084575631411553e+01,1.137207816250978709e+02,-1.120991826690818272e+02
1.601601601601601477e+00,4.000378898362191293e+00,-5.558530651910179898e+01,1.023975586157323505e+02,-1.047221923722068908e+02
1.641641641641641725e+00,7.886505567258297766e+00,-5.964349110594412906e+01,9.197723042721599995e+01,-9.813228163609710464e+01
1.681681681681681750e+00,1.136941554406061350e+01,-6.344980429925379894e+01,8.223882998083195162e+01,-9.215612033629459177e+01
1.721721721721721776e+00,1.447806750623424499e+01,-6.702978136586786206e+01,7.314427784047215653e+01,-8.675505656080957806e+01
